# 60km, 70km, 80km, 90km, 100km, 110km, 120km, 130km, 140km, 150km, 160km, 170km, 180km, 190km, 200km, 210km, 220km, 230km, 240km, 250km, 300km, 350km, 400km, 450km, 500km, 550km, 600km, 650km, 700km, 750km, 800km, 850km, 900km, 950km, 1000km
5.5050e-01,5.4543e-01,5.2160e-01,5.1232e-01,5.0950e-01,4.9044e-01,4.8562e-01,4.7847e-01,4.7184e-01,4.7174e-01,4.5389e-01,4.5486e-01,4.5368e-01,4.4683e-01,4.4525e-01,4.4357e-01,4.3970e-01,4.3663e-01,4.3533e-01,4.3218e-01,4.2148e-01,4.0611e-01,3.9729e-01,3.9464e-01,3.8152e-01,3.8488e-01,3.8068e-01,3.7157e-01,3.6784e-01,3.6595e-01,3.5762e-01,3.6200e-01,3.3582e-01,3.5245e-01,3.4154e-01
5.4769e-01,5.4229e-01,5.1854e-01,5.0907e-01,5.0599e-01,4.8707e-01,4.8205e-01,4.7483e-01,4.6810e-01,4.6776e-01,4.5013e-01,4.5087e-01,4.4950e-01,4.4268e-01,4.4092e-01,4.3909e-01,4.3519e-01,4.3199e-01,4.3066e-01,4.2746e-01,4.1637e-01,4.0092e-01,3.9187e-01,3.8890e-01,3.7574e-01,3.7859e-01,3.7408e-01,3.6541e-01,3.6146e-01,3.5906e-01,3.5107e-01,3.5481e-01,3.2958e-01,3.4571e-01,3.3470e-01
5.4490e-01,5.3916e-01,5.1549e-01,5.0584e-01,5.0250e-01,4.8372e-01,4.7851e-01,4.7122e-01,4.6440e-01,4.6382e-01,4.4639e-01,4.4691e-01,4.4536e-01,4.3858e-01,4.3663e-01,4.3466e-01,4.3074e-01,4.2741e-01,4.2603e-01,4.2279e-01,4.1132e-01,3.9580e-01,3.8652e-01,3.8324e-01,3.7005e-01,3.7240e-01,3.6759e-01,3.5934e-01,3.5519e-01,3.5230e-01,3.4463e-01,3.4775e-01,3.2344e-01,3.3910e-01,3.2799e-01
5.4212e-01,5.3606e-01,5.1247e-01,5.0263e-01,4.9904e-01,4.8040e-01,4.7500e-01,4.6764e-01,4.6072e-01,4.5992e-01,4.4269e-01,4.4299e-01,4.4127e-01,4.3451e-01,4.3239e-01,4.3027e-01,4.2633e-01,4.2287e-01,4.2146e-01,4.1817e-01,4.0633e-01,3.9075e-01,3.8124e-01,3.7766e-01,3.6444e-01,3.6630e-01,3.6121e-01,3.5336e-01,3.4901e-01,3.4565e-01,3.3830e-01,3.4082e-01,3.1740e-01,3.3259e-01,3.2140e-01
5.3935e-01,5.3297e-01,5.0946e-01,4.9945e-01,4.9560e-01,4.7710e-01,4.7152e-01,4.6409e-01,4.5708e-01,4.5605e-01,4.3903e-01,4.3911e-01,4.3721e-01,4.3048e-01,4.2818e-01,4.2593e-01,4.2197e-01,4.1839e-01,4.1694e-01,4.1361e-01,4.0141e-01,3.8576e-01,3.7604e-01,3.7216e-01,3.5891e-01,3.6030e-01,3.5493e-01,3.4748e-01,3.4294e-01,3.3911e-01,3.3207e-01,3.3401e-01,3.1147e-01,3.2619e-01,3.1493e-01
5.3660e-01,5.2990e-01,5.0647e-01,4.9629e-01,4.9219e-01,4.7383e-01,4.6806e-01,4.6057e-01,4.5347e-01,4.5221e-01,4.3539e-01,4.3526e-01,4.3319e-01,4.2650e-01,4.2403e-01,4.2164e-01,4.1765e-01,4.1396e-01,4.1246e-01,4.0909e-01,3.9654e-01,3.8083e-01,3.7090e-01,3.6674e-01,3.5347e-01,3.5439e-01,3.4876e-01,3.4169e-01,3.3697e-01,3.3270e-01,3.2595e-01,3.2733e-01,3.0564e-01,3.1991e-01,3.0858e-01
5.3387e-01,5.2686e-01,5.0350e-01,4.9314e-01,4.8881e-01,4.7057e-01,4.6463e-01,4.5708e-01,4.4988e-01,4.4841e-01,4.3179e-01,4.3145e-01,4.2922e-01,4.2255e-01,4.1991e-01,4.1739e-01,4.1338e-01,4.0957e-01,4.0804e-01,4.0463e-01,3.9174e-01,3.7597e-01,3.6584e-01,3.6139e-01,3.4811e-01,3.4858e-01,3.4270e-01,3.3599e-01,3.3110e-01,3.2639e-01,3.1993e-01,3.2077e-01,2.9992e-01,3.1373e-01,3.0235e-01
5.3115e-01,5.2383e-01,5.0054e-01,4.9002e-01,4.8544e-01,4.6735e-01,4.6123e-01,4.5361e-01,4.4633e-01,4.4464e-01,4.2822e-01,4.2767e-01,4.2528e-01,4.1864e-01,4.1583e-01,4.1319e-01,4.0916e-01,4.0524e-01,4.0367e-01,4.0022e-01,3.8699e-01,3.7118e-01,3.6085e-01,3.5613e-01,3.4283e-01,3.4285e-01,3.3674e-01,3.3039e-01,3.2533e-01,3.2021e-01,3.1402e-01,3.1433e-01,2.9429e-01,3.0766e-01,2.9624e-01
5.2844e-01,5.2081e-01,4.9761e-01,4.8692e-01,4.8211e-01,4.6414e-01,4.5785e-01,4.5017e-01,4.4281e-01,4.4090e-01,4.2468e-01,4.2393e-01,4.2138e-01,4.1477e-01,4.1180e-01,4.0904e-01,4.0498e-01,4.0095e-01,3.9935e-01,3.9586e-01,3.8230e-01,3.6645e-01,3.5593e-01,3.5093e-01,3.3763e-01,3.3722e-01,3.3088e-01,3.2487e-01,3.1966e-01,3.1413e-01,3.0822e-01,3.0801e-01,2.8876e-01,3.0169e-01,2.9024e-01
5.2575e-01,5.1782e-01,4.9469e-01,4.8384e-01,4.7879e-01,4.6096e-01,4.5450e-01,4.4676e-01,4.3931e-01,4.3720e-01,4.2117e-01,4.2023e-01,4.1752e-01,4.1094e-01,4.0781e-01,4.0493e-01,4.0085e-01,3.9672e-01,3.9508e-01,3.9155e-01,3.7768e-01,3.6178e-01,3.5107e-01,3.4582e-01,3.3250e-01,3.3168e-01,3.2513e-01,3.1945e-01,3.1408e-01,3.0816e-01,3.0251e-01,3.0181e-01,2.8334e-01,2.9584e-01,2.8436e-01
5.2307e-01,5.1485e-01,4.9179e-01,4.8078e-01,4.7551e-01,4.5780e-01,4.5118e-01,4.4338e-01,4.3585e-01,4.3353e-01,4.1769e-01,4.1656e-01,4.1371e-01,4.0714e-01,4.0386e-01,4.0086e-01,3.9677e-01,3.9253e-01,3.9086e-01,3.8729e-01,3.7311e-01,3.5717e-01,3.4629e-01,3.4078e-01,3.2746e-01,3.2623e-01,3.1947e-01,3.1412e-01,3.0860e-01,3.0231e-01,2.9691e-01,2.9573e-01,2.7801e-01,2.9008e-01,2.7860e-01
5.2040e-01,5.1189e-01,4.8891e-01,4.7774e-01,4.7224e-01,4.5467e-01,4.4788e-01,4.4002e-01,4.3241e-01,4.2990e-01,4.1425e-01,4.1293e-01,4.0992e-01,4.0338e-01,3.9995e-01,3.9684e-01,3.9272e-01,3.8839e-01,3.8668e-01,3.8308e-01,3.6860e-01,3.5263e-01,3.4157e-01,3.3582e-01,3.2250e-01,3.2087e-01,3.1392e-01,3.0887e-01,3.0321e-01,2.9656e-01,2.9140e-01,2.8977e-01,2.7278e-01,2.8443e-01,2.7294e-01
