# 60km, 70km, 80km, 90km, 100km, 110km, 120km, 130km, 140km, 150km, 160km, 170km, 180km, 190km, 200km, 210km, 220km, 230km, 240km, 250km, 300km, 350km, 400km, 450km, 500km, 550km, 600km, 650km, 700km, 750km, 800km, 850km, 900km, 950km, 1000km
5.1775e-01,5.0895e-01,4.8605e-01,4.7472e-01,4.6900e-01,4.5155e-01,4.4461e-01,4.3669e-01,4.2901e-01,4.2630e-01,4.1084e-01,4.0933e-01,4.0618e-01,3.9967e-01,3.9609e-01,3.9286e-01,3.8873e-01,3.8430e-01,3.8256e-01,3.7892e-01,3.6415e-01,3.4814e-01,3.3692e-01,3.3092e-01,3.1761e-01,3.1559e-01,3.0846e-01,3.0371e-01,2.9792e-01,2.9093e-01,2.8600e-01,2.8392e-01,2.6764e-01,2.7889e-01,2.6741e-01
5.1512e-01,5.0603e-01,4.8320e-01,4.7173e-01,4.6579e-01,4.4847e-01,4.4137e-01,4.3339e-01,4.2563e-01,4.2273e-01,4.0745e-01,4.0577e-01,4.0248e-01,3.9598e-01,3.9226e-01,3.8893e-01,3.8477e-01,3.8026e-01,3.7848e-01,3.7481e-01,3.5976e-01,3.4372e-01,3.3234e-01,3.2611e-01,3.1280e-01,3.1041e-01,3.0311e-01,2.9864e-01,2.9272e-01,2.8540e-01,2.8069e-01,2.7818e-01,2.6260e-01,2.7344e-01,2.6198e-01
5.1249e-01,5.0313e-01,4.8037e-01,4.6875e-01,4.6260e-01,4.4540e-01,4.3815e-01,4.3011e-01,4.2228e-01,4.1920e-01,4.0410e-01,4.0224e-01,3.9881e-01,3.9234e-01,3.8848e-01,3.8504e-01,3.8087e-01,3.7626e-01,3.7445e-01,3.7075e-01,3.5542e-01,3.3936e-01,3.2783e-01,3.2136e-01,3.0807e-01,3.0531e-01,2.9785e-01,2.9365e-01,2.8761e-01,2.7997e-01,2.7548e-01,2.7256e-01,2.5766e-01,2.6810e-01,2.5666e-01
5.0989e-01,5.0024e-01,4.7756e-01,4.6579e-01,4.5943e-01,4.4236e-01,4.3495e-01,4.2687e-01,4.1896e-01,4.1569e-01,4.0078e-01,3.9874e-01,3.9518e-01,3.8873e-01,3.8473e-01,3.8119e-01,3.7700e-01,3.7231e-01,3.7047e-01,3.6674e-01,3.5114e-01,3.3506e-01,3.2338e-01,3.1669e-01,3.0341e-01,3.0030e-01,2.9268e-01,2.8875e-01,2.8260e-01,2.7466e-01,2.7037e-01,2.6705e-01,2.5280e-01,2.6285e-01,2.5145e-01
5.0729e-01,4.9738e-01,4.7477e-01,4.6285e-01,4.5629e-01,4.3933e-01,4.3179e-01,4.2365e-01,4.1567e-01,4.1222e-01,3.9749e-01,3.9529e-01,3.9159e-01,3.8516e-01,3.8103e-01,3.7739e-01,3.7318e-01,3.6841e-01,3.6653e-01,3.6277e-01,3.4692e-01,3.3082e-01,3.1899e-01,3.1209e-01,2.9883e-01,2.9537e-01,2.8762e-01,2.8393e-01,2.7767e-01,2.6944e-01,2.6536e-01,2.6165e-01,2.4805e-01,2.5771e-01,2.4635e-01
5.0471e-01,4.9453e-01,4.7199e-01,4.5994e-01,4.5317e-01,4.3634e-01,4.2865e-01,4.2045e-01,4.1241e-01,4.0878e-01,3.9423e-01,3.9186e-01,3.8804e-01,3.8163e-01,3.7736e-01,3.7363e-01,3.6940e-01,3.6455e-01,3.6264e-01,3.5885e-01,3.4275e-01,3.2664e-01,3.1468e-01,3.0756e-01,2.9432e-01,2.9053e-01,2.8264e-01,2.7920e-01,2.7284e-01,2.6433e-01,2.6043e-01,2.5636e-01,2.4338e-01,2.5266e-01,2.4135e-01
5.0215e-01,4.9170e-01,4.6923e-01,4.5704e-01,4.5008e-01,4.3336e-01,4.2553e-01,4.1728e-01,4.0917e-01,4.0538e-01,3.9100e-01,3.8847e-01,3.8452e-01,3.7813e-01,3.7374e-01,3.6991e-01,3.6567e-01,3.6074e-01,3.5880e-01,3.5498e-01,3.3864e-01,3.2252e-01,3.1042e-01,3.0310e-01,2.8989e-01,2.8577e-01,2.7776e-01,2.7455e-01,2.6809e-01,2.5932e-01,2.5561e-01,2.5119e-01,2.3880e-01,2.4771e-01,2.3646e-01
4.9959e-01,4.8889e-01,4.6649e-01,4.5416e-01,4.4700e-01,4.3041e-01,4.2244e-01,4.1414e-01,4.0597e-01,4.0200e-01,3.8780e-01,3.8511e-01,3.8104e-01,3.7467e-01,3.7015e-01,3.6623e-01,3.6198e-01,3.5698e-01,3.5501e-01,3.5116e-01,3.3458e-01,3.1846e-01,3.0623e-01,2.9872e-01,2.8553e-01,2.8109e-01,2.7298e-01,2.6998e-01,2.6343e-01,2.5441e-01,2.5087e-01,2.4611e-01,2.3431e-01,2.4286e-01,2.3167e-01
4.9706e-01,4.8609e-01,4.6377e-01,4.5131e-01,4.4396e-01,4.2747e-01,4.1937e-01,4.1103e-01,4.0279e-01,3.9866e-01,3.8463e-01,3.8179e-01,3.7759e-01,3.7124e-01,3.6661e-01,3.6260e-01,3.5833e-01,3.5326e-01,3.5126e-01,3.4738e-01,3.3058e-01,3.1445e-01,3.0211e-01,2.9440e-01,2.8124e-01,2.7650e-01,2.6828e-01,2.6550e-01,2.5886e-01,2.4960e-01,2.4623e-01,2.4115e-01,2.2991e-01,2.3810e-01,2.2699e-01
4.9453e-01,4.8332e-01,4.6106e-01,4.4847e-01,4.4093e-01,4.2456e-01,4.1633e-01,4.0794e-01,3.9964e-01,3.9535e-01,3.8149e-01,3.7849e-01,3.7419e-01,3.6785e-01,3.6310e-01,3.5901e-01,3.5472e-01,3.4958e-01,3.4755e-01,3.4365e-01,3.2663e-01,3.1050e-01,2.9804e-01,2.9015e-01,2.7702e-01,2.7198e-01,2.6368e-01,2.6109e-01,2.5438e-01,2.4489e-01,2.4168e-01,2.3629e-01,2.2560e-01,2.3343e-01,2.2241e-01
4.9202e-01,4.8056e-01,4.5837e-01,4.4565e-01,4.3793e-01,4.2168e-01,4.1331e-01,4.0487e-01,3.9652e-01,3.9207e-01,3.7838e-01,3.7524e-01,3.7082e-01,3.6450e-01,3.5963e-01,3.5546e-01,3.5115e-01,3.4595e-01,3.4389e-01,3.3997e-01,3.2274e-01,3.0661e-01,2.9404e-01,2.8596e-01,2.7288e-01,2.6755e-01,2.5916e-01,2.5676e-01,2.4998e-01,2.4028e-01,2.3721e-01,2.3153e-01,2.2138e-01,2.2886e-01,2.1792e-01
4.8952e-01,4.7782e-01,4.5570e-01,4.4285e-01,4.3495e-01,4.1881e-01,4.1032e-01,4.0183e-01,3.9342e-01,3.8882e-01,3.7530e-01,3.7201e-01,3.6748e-01,3.6118e-01,3.5620e-01,3.5195e-01,3.4763e-01,3.4237e-01,3.4028e-01,3.3633e-01,3.1890e-01,3.0278e-01,2.9010e-01,2.8185e-01,2.6880e-01,2.6320e-01,2.5473e-01,2.5252e-01,2.4566e-01,2.3576e-01,2.3284e-01,2.2688e-01,2.1724e-01,2.2438e-01,2.1354e-01
4.8704e-01,4.7509e-01,4.5304e-01,4.4008e-01,4.3200e-01,4.1597e-01,4.0736e-01,3.9882e-01,3.9035e-01,3.8560e-01,3.7225e-01,3.6882e-01,3.6418e-01,3.5790e-01,3.5281e-01,3.4848e-01,3.4414e-01,3.3883e-01,3.3671e-01,3.3274e-01,3.1511e-01,2.9900e-01,2.8622e-01,2.7780e-01,2.6480e-01,2.5893e-01,2.5040e-01,2.4835e-01,2.4143e-01,2.3134e-01,2.2856e-01,2.2233e-01,2.1318e-01,2.2000e-01,2.0926e-01
4.8457e-01,4.7239e-01,4.5040e-01,4.3732e-01,4.2906e-01,4.1315e-01,4.0441e-01,3.9584e-01,3.8731e-01,3.8242e-01,3.6923e-01,3.6566e-01,3.6092e-01,3.5465e-01,3.4945e-01,3.4505e-01,3.4070e-01,3.3533e-01,3.3318e-01,3.2919e-01,3.1138e-01,2.9528e-01,2.8240e-01,2.7382e-01,2.6086e-01,2.5473e-01,2.4614e-01,2.4426e-01,2.3728e-01,2.2701e-01,2.2436e-01,2.1787e-01,2.0921e-01,2.1570e-01,2.0507e-01
4.8211e-01,4.6970e-01,4.4778e-01,4.3458e-01,4.2616e-01,4.1034e-01,4.0150e-01,3.9288e-01,3.8430e-01,3.7926e-01,3.6623e-01,3.6253e-01,3.5769e-01,3.5143e-01,3.4613e-01,3.4166e-01,3.3730e-01,3.3187e-01,3.2970e-01,3.2569e-01,3.0769e-01,2.9161e-01,2.7865e-01,2.6990e-01,2.5700e-01,2.5061e-01,2.4198e-01,2.4024e-01,2.3321e-01,2.2277e-01,2.2025e-01,2.1352e-01,2.0533e-01,2.1149e-01,2.0097e-01
4.7967e-01,4.6702e-01,4.4518e-01,4.3186e-01,4.2327e-01,4.0757e-01,3.9860e-01,3.8994e-01,3.8131e-01,3.7614e-01,3.6327e-01,3.5943e-01,3.5449e-01,3.4826e-01,3.4285e-01,3.3832e-01,3.3394e-01,3.2846e-01,3.2626e-01,3.2223e-01,3.0406e-01,2.8800e-01,2.7495e-01,2.6605e-01,2.5320e-01,2.4657e-01,2.3790e-01,2.3630e-01,2.2923e-01,2.1863e-01,2.1622e-01,2.0927e-01,2.0152e-01,2.0737e-01,1.9698e-01
4.7724e-01,4.6437e-01,4.4259e-01,4.2916e-01,4.2041e-01,4.0481e-01,3.9573e-01,3.8703e-01,3.7835e-01,3.7304e-01,3.6033e-01,3.5637e-01,3.5133e-01,3.4511e-01,3.3961e-01,3.3501e-01,3.3062e-01,3.2510e-01,3.2287e-01,3.1881e-01,3.0048e-01,2.8444e-01,2.7131e-01,2.6227e-01,2.4946e-01,2.4261e-01,2.3390e-01,2.3244e-01,2.2532e-01,2.1458e-01,2.1228e-01,2.0511e-01,1.9780e-01,2.0333e-01,1.9307e-01
4.7482e-01,4.6173e-01,4.4002e-01,4.2647e-01,4.1756e-01,4.0207e-01,3.9289e-01,3.8414e-01,3.7542e-01,3.6998e-01,3.5742e-01,3.5334e-01,3.4821e-01,3.4200e-01,3.3641e-01,3.3174e-01,3.2734e-01,3.2177e-01,3.1952e-01,3.1544e-01,2.9695e-01,2.8093e-01,2.6773e-01,2.5854e-01,2.4580e-01,2.3872e-01,2.2998e-01,2.2865e-01,2.2149e-01,2.1062e-01,2.0842e-01,2.0105e-01,1.9416e-01,1.9939e-01,1.8926e-01
4.7242e-01,4.5911e-01,4.3746e-01,4.2381e-01,4.1475e-01,3.9936e-01,3.9007e-01,3.8128e-01,3.7252e-01,3.6694e-01,3.5454e-01,3.5034e-01,3.4512e-01,3.3892e-01,3.3324e-01,3.2851e-01,3.2410e-01,3.1849e-01,3.1621e-01,3.1211e-01,2.9348e-01,2.7748e-01,2.6421e-01,2.5489e-01,2.4220e-01,2.3490e-01,2.2615e-01,2.2493e-01,2.1774e-01,2.0675e-01,2.0464e-01,1.9709e-01,1.9060e-01,1.9553e-01,1.8554e-01
4.7003e-01,4.5651e-01,4.3492e-01,4.2117e-01,4.1195e-01,3.9666e-01,3.8727e-01,3.7845e-01,3.6964e-01,3.6394e-01,3.5169e-01,3.4737e-01,3.4206e-01,3.3588e-01,3.3010e-01,3.2532e-01,3.2089e-01,3.1525e-01,3.1294e-01,3.0883e-01,2.9005e-01,2.7408e-01,2.6074e-01,2.5129e-01,2.3866e-01,2.3116e-01,2.2240e-01,2.2128e-01,2.1407e-01,2.0296e-01,2.0094e-01,1.9321e-01,1.8711e-01,1.9175e-01,1.8191e-01
4.6765e-01,4.5392e-01,4.3240e-01,4.1854e-01,4.0917e-01,3.9399e-01,3.8450e-01,3.7564e-01,3.6678e-01,3.6096e-01,3.4887e-01,3.4443e-01,3.3904e-01,3.3286e-01,3.2701e-01,3.2217e-01,3.1773e-01,3.1205e-01,3.0972e-01,3.0559e-01,2.8667e-01,2.7074e-01,2.5733e-01,2.4775e-01,2.3519e-01,2.2749e-01,2.1873e-01,2.1771e-01,2.1048e-01,1.9927e-01,1.9733e-01,1.8943e-01,1.8370e-01,1.8806e-01,1.7836e-01
4.6529e-01,4.5135e-01,4.2990e-01,4.1594e-01,4.0642e-01,3.9134e-01,3.8175e-01,3.7285e-01,3.6396e-01,3.5801e-01,3.4607e-01,3.4152e-01,3.3605e-01,3.2989e-01,3.2395e-01,3.1906e-01,3.1461e-01,3.0889e-01,3.0654e-01,3.0239e-01,2.8334e-01,2.6744e-01,2.5398e-01,2.4428e-01,2.3178e-01,2.2389e-01,2.1513e-01,2.1421e-01,2.0696e-01,1.9565e-01,1.9379e-01,1.8574e-01,1.8037e-01,1.8444e-01,1.7491e-01
4.6294e-01,4.4880e-01,4.2741e-01,4.1335e-01,4.0369e-01,3.8871e-01,3.7902e-01,3.7009e-01,3.6116e-01,3.5510e-01,3.4330e-01,3.3864e-01,3.3309e-01,3.2694e-01,3.2092e-01,3.1599e-01,3.1152e-01,3.0577e-01,3.0339e-01,2.9924e-01,2.8006e-01,2.6420e-01,2.5069e-01,2.4087e-01,2.2844e-01,2.2037e-01,2.1162e-01,2.1078e-01,2.0351e-01,1.9213e-01,1.9033e-01,1.8215e-01,1.7712e-01,1.8091e-01,1.7154e-01
4.6061e-01,4.4626e-01,4.2494e-01,4.1078e-01,4.0098e-01,3.8610e-01,3.7632e-01,3.6735e-01,3.5838e-01,3.5221e-01,3.4056e-01,3.3580e-01,3.3017e-01,3.2403e-01,3.1793e-01,3.1295e-01,3.0847e-01,3.0269e-01,3.0029e-01,2.9612e-01,2.7683e-01,2.6101e-01,2.4745e-01,2.3752e-01,2.2516e-01,2.1691e-01,2.0818e-01,2.0742e-01,2.0014e-01,1.8868e-01,1.8695e-01,1.7864e-01,1.7394e-01,1.7746e-01,1.6825e-01
4.5828e-01,4.4374e-01,4.2248e-01,4.0823e-01,3.9830e-01,3.8351e-01,3.7364e-01,3.6464e-01,3.5563e-01,3.4935e-01,3.3785e-01,3.3298e-01,3.2728e-01,3.2115e-01,3.1498e-01,3.0995e-01,3.0546e-01,2.9965e-01,2.9723e-01,2.9305e-01,2.7364e-01,2.5786e-01,2.4426e-01,2.3423e-01,2.2194e-01,2.1352e-01,2.0482e-01,2.0413e-01,1.9684e-01,1.8532e-01,1.8365e-01,1.7521e-01,1.7083e-01,1.7409e-01,1.6505e-01
4.5597e-01,4.4124e-01,4.2004e-01,4.0570e-01,3.9563e-01,3.8094e-01,3.7098e-01,3.6195e-01,3.5291e-01,3.4652e-01,3.3516e-01,3.3019e-01,3.2442e-01,3.1830e-01,3.1206e-01,3.0699e-01,3.0249e-01,2.9666e-01,2.9421e-01,2.9002e-01,2.7051e-01,2.5477e-01,2.4113e-01,2.3099e-01,2.1878e-01,2.1021e-01,2.0153e-01,2.0090e-01,1.9361e-01,1.8204e-01,1.8042e-01,1.7188e-01,1.6780e-01,1.7080e-01,1.6193e-01
4.5368e-01,4.3876e-01,4.1761e-01,4.0319e-01,3.9299e-01,3.7839e-01,3.6835e-01,3.5929e-01,3.5021e-01,3.4372e-01,3.3250e-01,3.2744e-01,3.2159e-01,3.1549e-01,3.0918e-01,3.0406e-01,2.9956e-01,2.9370e-01,2.9124e-01,2.8703e-01,2.6742e-01,2.5173e-01,2.3805e-01,2.2782e-01,2.1568e-01,2.0696e-01,1.9832e-01,1.9774e-01,1.9046e-01,1.7884e-01,1.7727e-01,1.6863e-01,1.6484e-01,1.6759e-01,1.5890e-01
4.5139e-01,4.3629e-01,4.1521e-01,4.0070e-01,3.9037e-01,3.7586e-01,3.6574e-01,3.5665e-01,3.4754e-01,3.4095e-01,3.2986e-01,3.2471e-01,3.1880e-01,3.1270e-01,3.0633e-01,3.0117e-01,2.9666e-01,2.9078e-01,2.8830e-01,2.8408e-01,2.6438e-01,2.4873e-01,2.3503e-01,2.2470e-01,2.1265e-01,2.0378e-01,1.9519e-01,1.9465e-01,1.8737e-01,1.7572e-01,1.7419e-01,1.6546e-01,1.6195e-01,1.6445e-01,1.5594e-01
4.4912e-01,4.3383e-01,4.1281e-01,3.9822e-01,3.8777e-01,3.7336e-01,3.6315e-01,3.5403e-01,3.4489e-01,3.3820e-01,3.2726e-01,3.2201e-01,3.1604e-01,3.0995e-01,3.0351e-01,2.9832e-01,2.9380e-01,2.8790e-01,2.8540e-01,2.8116e-01,2.6138e-01,2.4579e-01,2.3206e-01,2.2164e-01,2.0967e-01,2.0066e-01,1.9212e-01,1.9163e-01,1.8436e-01,1.7268e-01,1.7118e-01,1.6238e-01,1.5913e-01,1.6139e-01,1.5306e-01
4.4686e-01,4.3140e-01,4.1044e-01,3.9576e-01,3.8519e-01,3.7087e-01,3.6059e-01,3.5143e-01,3.4227e-01,3.3548e-01,3.2468e-01,3.1935e-01,3.1331e-01,3.0723e-01,3.0073e-01,2.9551e-01,2.9097e-01,2.8506e-01,2.8254e-01,2.7829e-01,2.5843e-01,2.4289e-01,2.2914e-01,2.1864e-01,2.0675e-01,1.9761e-01,1.8913e-01,1.8867e-01,1.8141e-01,1.6971e-01,1.6825e-01,1.5938e-01,1.5637e-01,1.5840e-01,1.5026e-01
4.4462e-01,4.2898e-01,4.0808e-01,3.9332e-01,3.8263e-01,3.6840e-01,3.5805e-01,3.4886e-01,3.3967e-01,3.3280e-01,3.2212e-01,3.1671e-01,3.1061e-01,3.0454e-01,2.9798e-01,2.9273e-01,2.8818e-01,2.8226e-01,2.7971e-01,2.7546e-01,2.5553e-01,2.4004e-01,2.2627e-01,2.1569e-01,2.0388e-01,1.9463e-01,1.8620e-01,1.8577e-01,1.7853e-01,1.6682e-01,1.6538e-01,1.5646e-01,1.5369e-01,1.5549e-01,1.4754e-01
4.4239e-01,4.2657e-01,4.0573e-01,3.9090e-01,3.8010e-01,3.6595e-01,3.5553e-01,3.4632e-01,3.3710e-01,3.3013e-01,3.1959e-01,3.1410e-01,3.0795e-01,3.0188e-01,2.9526e-01,2.8998e-01,2.8543e-01,2.7949e-01,2.7693e-01,2.7267e-01,2.5267e-01,2.3724e-01,2.2345e-01,2.1280e-01,2.0108e-01,1.9171e-01,1.8335e-01,1.8294e-01,1.7571e-01,1.6401e-01,1.6259e-01,1.5362e-01,1.5108e-01,1.5265e-01,1.4489e-01
4.4017e-01,4.2418e-01,4.0341e-01,3.8850e-01,3.7758e-01,3.6353e-01,3.5303e-01,3.4379e-01,3.3455e-01,3.2750e-01,3.1709e-01,3.1152e-01,3.0531e-01,2.9925e-01,2.9258e-01,2.8727e-01,2.8271e-01,2.7677e-01,2.7418e-01,2.6992e-01,2.4985e-01,2.3448e-01,2.2068e-01,2.0996e-01,1.9833e-01,1.8885e-01,1.8056e-01,1.8017e-01,1.7297e-01,1.6127e-01,1.5986e-01,1.5086e-01,1.4853e-01,1.4988e-01,1.4232e-01
4.3796e-01,4.2181e-01,4.0109e-01,3.8611e-01,3.7509e-01,3.6112e-01,3.5055e-01,3.4129e-01,3.3202e-01,3.2489e-01,3.1461e-01,3.0896e-01,3.0271e-01,2.9665e-01,2.8993e-01,2.8460e-01,2.8003e-01,2.7408e-01,2.7148e-01,2.6721e-01,2.4708e-01,2.3177e-01,2.1797e-01,2.0718e-01,1.9564e-01,1.8606e-01,1.7784e-01,1.7746e-01,1.7028e-01,1.5860e-01,1.5721e-01,1.4817e-01,1.4604e-01,1.4718e-01,1.3982e-01
4.3577e-01,4.1946e-01,3.9880e-01,3.8375e-01,3.7261e-01,3.5873e-01,3.4810e-01,3.3881e-01,3.2952e-01,3.2232e-01,3.1216e-01,3.0644e-01,3.0013e-01,2.9409e-01,2.8732e-01,2.8196e-01,2.7739e-01,2.7143e-01,2.6881e-01,2.6453e-01,2.4435e-01,2.2911e-01,2.1530e-01,2.0445e-01,1.9300e-01,1.8332e-01,1.7519e-01,1.7481e-01,1.6766e-01,1.5600e-01,1.5462e-01,1.4556e-01,1.4362e-01,1.4456e-01,1.3740e-01
4.3358e-01,4.1712e-01,3.9651e-01,3.8140e-01,3.7016e-01,3.5636e-01,3.4567e-01,3.3636e-01,3.2705e-01,3.1976e-01,3.0974e-01,3.0394e-01,2.9759e-01,2.9155e-01,2.8473e-01,2.7935e-01,2.7477e-01,2.6881e-01,2.6617e-01,2.6189e-01,2.4167e-01,2.2649e-01,2.1268e-01,2.0177e-01,1.9041e-01,1.8065e-01,1.7261e-01,1.7222e-01,1.6511e-01,1.5348e-01,1.5209e-01,1.4303e-01,1.4127e-01,1.4200e-01,1.3504e-01
