# 60km, 70km, 80km, 90km, 100km, 110km, 120km, 130km, 140km, 150km, 160km, 170km, 180km, 190km, 200km, 210km, 220km, 230km, 240km, 250km, 300km, 350km, 400km, 450km, 500km, 550km, 600km, 650km, 700km, 750km, 800km, 850km, 900km, 950km, 1000km
1.1641e-01,1.0780e-01,1.0081e-01,9.5072e-02,9.0212e-02,8.6006e-02,8.2319e-02,7.9046e-02,7.6251e-02,7.3583e-02,7.1259e-02,6.9129e-02,6.7231e-02,6.5246e-02,6.3638e-02,6.2117e-02,6.0790e-02,5.9373e-02,5.8198e-02,5.6795e-02,5.1654e-02,4.8209e-02,4.4985e-02,4.2108e-02,3.9909e-02,3.7960e-02,3.6354e-02,3.5086e-02,3.4021e-02,3.2873e-02,3.1778e-02,3.0727e-02,3.0023e-02,2.9153e-02,2.8489e-02
1.1634e-01,1.0773e-01,1.0075e-01,9.5014e-02,9.0157e-02,8.5953e-02,8.2268e-02,7.8997e-02,7.6205e-02,7.3538e-02,7.1216e-02,6.9086e-02,6.7190e-02,6.5207e-02,6.3598e-02,6.2083e-02,6.0752e-02,5.9336e-02,5.8162e-02,5.6761e-02,5.1625e-02,4.8182e-02,4.4960e-02,4.2079e-02,3.9879e-02,3.7943e-02,3.6334e-02,3.5062e-02,3.3998e-02,3.2853e-02,3.1760e-02,3.0707e-02,3.0003e-02,2.9132e-02,2.8472e-02
1.1627e-01,1.0767e-01,1.0069e-01,9.4955e-02,9.0101e-02,8.5900e-02,8.2218e-02,7.8948e-02,7.6158e-02,7.3492e-02,7.1173e-02,6.9043e-02,6.7150e-02,6.5168e-02,6.3559e-02,6.2048e-02,6.0714e-02,5.9299e-02,5.8126e-02,5.6727e-02,5.1596e-02,4.8155e-02,4.4935e-02,4.2050e-02,3.9850e-02,3.7925e-02,3.6313e-02,3.5037e-02,3.3974e-02,3.2834e-02,3.1742e-02,3.0687e-02,2.9983e-02,2.9111e-02,2.8455e-02
1.1620e-01,1.0760e-01,1.0063e-01,9.4897e-02,9.0046e-02,8.5848e-02,8.2168e-02,7.8900e-02,7.6111e-02,7.3447e-02,7.1130e-02,6.9001e-02,6.7109e-02,6.5129e-02,6.3519e-02,6.2014e-02,6.0677e-02,5.9263e-02,5.8090e-02,5.6694e-02,5.1566e-02,4.8128e-02,4.4910e-02,4.2021e-02,3.9821e-02,3.7908e-02,3.6292e-02,3.5013e-02,3.3951e-02,3.2814e-02,3.1725e-02,3.0667e-02,2.9963e-02,2.9089e-02,2.8438e-02
1.1613e-01,1.0754e-01,1.0057e-01,9.4838e-02,8.9991e-02,8.5796e-02,8.2117e-02,7.8851e-02,7.6065e-02,7.3401e-02,7.1088e-02,6.8958e-02,6.7068e-02,6.5090e-02,6.3480e-02,6.1980e-02,6.0639e-02,5.9226e-02,5.8054e-02,5.6661e-02,5.1537e-02,4.8101e-02,4.4885e-02,4.1992e-02,3.9792e-02,3.7891e-02,3.6272e-02,3.4989e-02,3.3928e-02,3.2795e-02,3.1707e-02,3.0648e-02,2.9943e-02,2.9068e-02,2.8421e-02
1.1606e-01,1.0747e-01,1.0050e-01,9.4780e-02,8.9936e-02,8.5743e-02,8.2067e-02,7.8803e-02,7.6018e-02,7.3356e-02,7.1045e-02,6.8916e-02,6.7028e-02,6.5051e-02,6.3440e-02,6.1946e-02,6.0602e-02,5.9190e-02,5.8018e-02,5.6627e-02,5.1508e-02,4.8073e-02,4.4860e-02,4.1964e-02,3.9763e-02,3.7875e-02,3.6251e-02,3.4964e-02,3.3906e-02,3.2775e-02,3.1689e-02,3.0628e-02,2.9923e-02,2.9047e-02,2.8404e-02
1.1599e-01,1.0740e-01,1.0044e-01,9.4722e-02,8.9881e-02,8.5691e-02,8.2017e-02,7.8755e-02,7.5971e-02,7.3311e-02,7.1003e-02,6.8874e-02,6.6987e-02,6.5012e-02,6.3401e-02,6.1912e-02,6.0565e-02,5.9153e-02,5.7982e-02,5.6594e-02,5.1479e-02,4.8046e-02,4.4835e-02,4.1935e-02,3.9734e-02,3.7858e-02,3.6231e-02,3.4940e-02,3.3883e-02,3.2756e-02,3.1671e-02,3.0609e-02,2.9903e-02,2.9026e-02,2.8387e-02
1.1592e-01,1.0734e-01,1.0038e-01,9.4664e-02,8.9826e-02,8.5639e-02,8.1967e-02,7.8707e-02,7.5925e-02,7.3265e-02,7.0960e-02,6.8831e-02,6.6947e-02,6.4974e-02,6.3362e-02,6.1878e-02,6.0527e-02,5.9117e-02,5.7946e-02,5.6561e-02,5.1449e-02,4.8018e-02,4.4810e-02,4.1906e-02,3.9706e-02,3.7842e-02,3.6210e-02,3.4916e-02,3.3860e-02,3.2737e-02,3.1654e-02,3.0590e-02,2.9883e-02,2.9005e-02,2.8370e-02
1.1585e-01,1.0727e-01,1.0032e-01,9.4606e-02,8.9772e-02,8.5587e-02,8.1917e-02,7.8659e-02,7.5878e-02,7.3220e-02,7.0918e-02,6.8789e-02,6.6906e-02,6.4936e-02,6.3323e-02,6.1844e-02,6.0490e-02,5.9081e-02,5.7909e-02,5.6528e-02,5.1420e-02,4.7991e-02,4.4786e-02,4.1878e-02,3.9677e-02,3.7826e-02,3.6190e-02,3.4892e-02,3.3837e-02,3.2717e-02,3.1636e-02,3.0571e-02,2.9863e-02,2.8984e-02,2.8354e-02
1.1578e-01,1.0721e-01,1.0026e-01,9.4548e-02,8.9717e-02,8.5535e-02,8.1868e-02,7.8611e-02,7.5832e-02,7.3175e-02,7.0875e-02,6.8747e-02,6.6866e-02,6.4897e-02,6.3283e-02,6.1811e-02,6.0453e-02,5.9045e-02,5.7873e-02,5.6496e-02,5.1391e-02,4.7963e-02,4.4761e-02,4.1849e-02,3.9649e-02,3.7810e-02,3.6169e-02,3.4868e-02,3.3815e-02,3.2698e-02,3.1618e-02,3.0552e-02,2.9844e-02,2.8963e-02,2.8337e-02
