net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km,result
ZV,NEMA,-7.52,31.044,YQ,MBEY,-9.0,33.25,2332,293.0141765,1
XB,CM26,7.265,13.548,XB,CM19,5.975,11.232,3850,293.1558681,1
XA,SA14,-29.868,24.023000000000003,XA,SA08,-31.91,22.073,3784,293.270834,1
AF,DESE,11.118,39.635,YY,DAQU,13.145,37.898,1067,293.299379,1
XA,SA64,-22.969,26.202,XA,SA56,-23.006,29.074,3036,294.495625,1
XA,SA42,-25.665,29.222,XA,SA56,-23.006,29.074,2750,294.9020455,1
XB,PM40,34.908,-2.21,XB,PS52,37.004,-4.226,7920,295.21925739999995,1
2H,TRUE,12.481,40.315,7C,ARTA,11.526,42.847,1298,295.2788864,2
XA,SA169,-22.262,29.213,XA,SA66,-21.9,26.373,1507,295.8210948,1
YJ,DZEE,8.78,38.996,XI,DELE,8.439,36.326,1045,296.3047742,1
YJ,CHAE,9.312,38.762,XI,TERC,7.145,37.175,1089,296.6648395,1
XI,GOBA,7.027,39.982,XI,BIRH,9.672,39.525,693,296.8299008,2
ZV,SITA,-6.619,31.143,YQ,LOSI,-8.387,33.168,4114,296.9539887,1
XI,KR42,0.038,35.726,XI,KITU,-1.3730000000000002,38.002,1034,297.5288875,1
XB,PS19,37.372,-4.994,XB,PM36,34.889,-3.736,7590,297.8714855,1
ZP,MAFI,-8.306000000000001,35.313,ZP,TUND,-9.296,32.771,2948,300.3310079,1
XA,SA48,-24.895,29.216,XA,SA33,-26.899,27.179,3564,301.5741175,2
2H,ERTE,13.446,40.497,7C,NRAE,11.642,42.578,2299,301.616528,2
ZP,MKRE,-4.282,30.424,ZP,MLBA,-1.838,31.67,3729,303.6732057,2
XB,PM12,34.85,-4.6080000000000005,XB,PS23,37.56,-5.101,9900,303.9585397,1
ZV,LAEA,-8.577,32.042,YQ,BAKO,-8.844,34.802,3883,305.1526654,1
XB,PM23,33.128,-5.03,3D,MM06,30.508000000000003,-6.066,9724,306.62140550000004,1
8A,OKAM,-20.407,18.219,8A,BAHE,-21.352,15.44,8976,307.5032173,1
AF,GRHM,-33.277,26.377,AF,HVD,-30.605,25.497,4664,307.7445125,1
XB,PM24,32.995,-4.898,3D,MM02,31.232,-7.422000000000001,8327,308.1379854,2
AF,ANKE,9.583,39.742,ZE,DIGE,12.328,40.273,1408,309.13334760000004,1
XB,PM16,35.13,-3.695,XB,PS26,37.722,-4.963,8888,309.2778665,1
XA,SA27,-27.862,27.294,XA,SA42,-25.665,29.222,2761,309.8724783,2
AF,DODT,-6.186,35.748000000000005,YQ,BAKO,-8.844,34.802,4356,311.9459913,2
ZP,IRIN,-7.762,35.686,YI,AAIR,-9.955,33.896,660,312.4003804,1
XA,SA26,-27.546,26.18,XA,SA46,-24.838,27.109,3102,314.0590187,1
XB,PM22,33.295,-5.107,3D,MM05,30.68,-6.39,1309,314.2895968,2
XB,PS47,36.87,-4.079,XB,PM19,34.143,-5.131,9900,317.2493497,1
XA,SA28,-27.898000000000003,28.066,YB,BB32,-28.815,24.978,781,319.32488060000003,2
XK,Q07MR,-13.197,37.499,XK,W06SB,-13.742,34.596,6336,320.056439,2
XB,PS10,36.802,-4.904,XB,PM40,34.908,-2.21,7920,321.5006934,1
ZT,LESE,-24.415,29.744,AF,CNG,-26.292,32.188,2519,322.0963988,2
XB,PM24,32.995,-4.898,XB,PM40,34.908,-2.21,8140,326.7212439,1
XB,CM26,7.265,13.548,XB,CM14,4.422,14.358,3960,326.9401452,1
XD,TARA,-3.889,36.016,XD,HALE,-5.3020000000000005,38.617,2970,328.19229310000003,2
AF,DESE,11.118,39.635,YY,KIRE,9.957,36.869,2024,328.8551383,1
XB,PM26,32.525,-4.566,3D,MM09,30.586,-7.2010000000000005,9702,329.846198,2
YJ,BEDE,8.908999999999999,40.771,XI,GUDE,8.966000000000001,37.765,1364,330.64937189999995,1
XB,PM40,34.908,-2.21,XB,PM03,35.51,-5.771,8129,331.0348817,1
XA,SA39,-25.895,26.151,XA,SA29,-26.932,23.035,2090,331.4050141,1
XB,PM40,34.908,-2.21,XB,PS03,36.393,-5.415,7865,333.7208934,1
1C,TOR1,-0.178,36.007,XJ,MW43,-3.205,35.946,1441,334.7808403,2
1C,NATN,1.041,36.123000000000005,XJ,KEN1,-1.941,36.693000000000005,1771,335.781422,1
XA,SA169,-22.262,29.213,XA,SA80,-19.959,31.318,1331,335.9097018,1
ZF,MISE,9.237,40.759,ZF,GASE,11.681,38.921,4642,336.99548500000003,1
1C,KTG,0.902,36.257,XJ,LL21,-2.063,35.551,1089,337.1390639,2
XB,PS45,36.306,-5.716,XB,PM22B,33.308,-5.102,6281,337.298775,1
1C,ANR,-0.182,36.245,XJ,MW41,-3.23,36.445,1716,337.7679276,1
XB,PM37,34.951,-3.151,XB,PM29,32.084,-4.391,8162,338.20435089999995,1
XB,PM10,34.738,-5.1370000000000005,XB,PS61,37.289,-3.069,4873,338.9102197,1
XA,SA67,-21.886,27.274,XA,SA47,-24.847,28.162,2937,340.26115439999995,1
ZF,WLDE,11.824000000000002,39.587,ZF,QATE,9.375,41.469,1078,340.2788352,2
ZV,KIPA,-7.432,30.591,YQ,MBEY,-9.0,33.25,2992,340.447899,2
YJ,SENE,9.147,39.017,XI,CHEF,6.1610000000000005,38.21,847,342.0247172,1
XB,PS44,36.317,-5.989,XB,PM39,34.889,-2.61,7810,344.71619239999995,1
ZV,KISA,-7.19,31.023000000000003,YQ,ILOM,-9.283,33.342,3850,344.7575022,1
ZF,KOBE,12.151,39.63,ZF,MISE,9.237,40.759,3839,345.1740427,2
YJ,INEE,9.895,39.143,XI,DELE,8.439,36.326,1375,348.97598710000005,1
2H,MAYE,12.783,39.534,7C,FIEA,11.589,42.507,3465,349.4591779,1
AF,ANKE,9.583,39.742,ZE,SILE,12.407,41.188,1661,350.0680686,1
XK,W09TK,-12.108,34.046,XK,W14MC,-15.063,35.226,7480,350.97975289999994,2
XB,PM32,31.568,-4.191,XB,PM13,34.672,-4.935,10494,351.183148,1
ZV,SITA,-6.619,31.143,YQ,MBEY,-9.0,33.25,2794,351.1941175,2
XA,SA39,-25.895,26.151,XA,SA23,-27.93,23.405,2530,353.8729885,1
XA,SA39,-25.895,26.151,XA,SA18,-28.633000000000003,24.306,2563,354.1359646,1
XB,PS21,37.345,-4.456,XB,PM18,34.15,-4.82,8338,356.0239728,1
YJ,MECE,8.594,40.324,XI,CHEF,6.1610000000000005,38.21,847,356.1797362,1
XB,PM37,34.951,-3.151,MN,RTC,33.988,-6.857,6325,356.8205995,1
XA,SA76,-20.636,29.846,XA,SA58,-23.518,31.397,1815,357.0123979,1
ZF,LYDE,12.055,41.926,XW,ADBA,13.550999999999998,44.842,2057,357.2277005,1
ZF,LALE,12.026,39.038,ZF,AWSE,8.99,40.17,4114,357.9432941,1
XB,CM30,9.757,13.95,XB,CM24,6.523,14.288,1716,359.6040169,2
XA,SA15,-29.904,25.032,XA,SA08,-31.91,22.073,3322,359.8007354,2
XA,SA57,-22.981,30.02,XA,SA46,-24.838,27.109,7656,360.7545024,2
XK,W10LW,-12.621,34.165,XK,Z05CS,-13.167,30.878,7359,361.8138768,2
ZF,MISE,9.237,40.759,ZE,TRUE,12.484000000000002,40.316,3751,362.414049,2
AF,ANKE,9.583,39.742,7C,KKO,11.519,42.422,1804,363.1634829,1
AF,DODT,-6.186,35.748000000000005,YQ,CHUN,-8.543,33.434,1518,364.9777446000001,2
ZV,KIPA,-7.432,30.591,YQ,ILOM,-9.283,33.342,4081,365.6701145,1
XB,PM32,31.568,-4.191,MN,RTC,33.988,-6.857,11099,366.5891609,2
XB,PM27,32.35,-4.654,XB,PM02,35.61,-5.347,9460,367.229106,1
XK,W10LW,-12.621,34.165,YQ,KIPE,-9.294,34.436,3124,369.2048857,2
1C,MOND,0.8959999999999999,36.086,XJ,LN14,-2.439,36.415,2013,370.580293,2
XB,PM38,34.838,-2.874,XB,PS26,37.722,-4.963,6523,370.9687367,1
XB,PM40,34.908,-2.21,XB,PM28,32.232,-4.617,8140,371.5061221,2
XB,PM20,33.906,-5.033,XB,PS18,37.25,-4.738,6391,371.9827545,1
XK,W11KP,-13.217,34.311,XK,Z05CS,-13.167,30.878,4070,372.1779876,1
XB,CM01,2.389,9.834,XB,CM18,5.723,9.355,3641,372.4902193,1
XB,PM34,31.291,-4.107,3D,MM10,30.53,-7.928,9702,374.8569136,2
XA,SA44,-26.032,30.902,XA,SA40,-25.898000000000003,27.149,2849,376.133106,2
XB,PM10,34.738,-5.1370000000000005,PM,PVAQ,37.404,-7.717,9196,376.1613123,1
AF,DODT,-6.186,35.748000000000005,YQ,KIFA,-9.547,35.103,4268,378.4535163,2
XB,PM05,35.213,-5.337000000000001,PM,PFVI,37.133,-8.827,11473,379.3937527,1
XB,PM09,35.027,-5.114,XB,PS34,38.434,-4.75,5720,379.4783661,1
ZP,PNDA,-6.352,31.061,AF,MBEY,-9.0,33.25,4246,379.5773516,2
ZT,LESE,-24.415,29.744,AF,POGA,-27.346,31.707,3289,379.6406369,1
XA,SA38,-25.933000000000003,25.085,XA,SA17,-28.932,23.226,7414,379.7450304,2
XA,SA75,-20.86,28.999,XA,SA50,-23.872,27.166,3575,383.2421276,1
ZP,KISZ,-12.112,25.495,ZP,MANS,-11.14,28.875,2816,383.9463132,1
ZP,MAKA,-8.846,34.83,ZP,MGOR,-6.827999999999999,37.67,1254,384.5798463,1
XA,SA14,-29.868,24.023000000000003,XA,SA05,-32.605,21.535,3421,385.0262482,2
NR,NE205,-18.621,23.5,NR,NE210,-21.362,21.216,891,386.2563033,1
XB,PM13,34.672,-4.935,XB,PS33,38.157,-4.906000000000001,9900,386.7280622,1
ZF,AWSE,8.99,40.17,ZE,TRUE,12.484000000000002,40.316,1991,386.812027,1
XK,W15SS,-15.682,34.975,XK,Q07MR,-13.197,37.499,7216,386.8448021,2
AF,DODT,-6.186,35.748000000000005,YQ,IGOM,-9.0,33.657,5786,387.4051508,2
XB,PM20,33.906,-5.033,3D,MM06,30.508000000000003,-6.066,4543,389.1809916,1
XB,PS41,36.667,-5.944,XB,PM40,34.908,-2.21,7854,389.8840017,1
XI,HOSA,7.564,37.857,XI,KARA,10.422,39.935,3036,390.0231501,1
XA,SA33,-26.899,27.179,XA,SA23,-27.93,23.405,3113,390.2771948,2
XB,PS05,36.646,-5.093999999999999,XB,PM23,33.128,-5.03,11946,390.3259167,2
XB,PM35,31.046,-3.996,XB,PM17,34.391,-5.295,9460,390.4246069,2
1C,KTG,0.902,36.257,XJ,LN26,-2.61,35.878,1089,390.6228252,1
