net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km,result
XB,PM07,35.228,-4.986000000000001,3D,MM08,31.026,-6.492000000000001,7128,486.7395219,1
ZP,MWEN,-10.058,28.702,ZP,KMPZ,-13.457,25.834,1529,488.9450311000001,1
XJ,PR52,-2.959,35.702,AF,TEBE,0.054,32.483000000000004,6325,489.1748551,2
AF,AAUS,9.035,38.766,2H,ABAE,13.354,39.764,6721,490.0226227,1
XB,PM15,34.469,-4.7,3D,MM09,30.586,-7.2010000000000005,7975,490.4935219,2
XB,CM27,7.359,12.667,XB,CM04,2.979,11.959,1100,490.6733867,1
XK,W04VR,-13.720999999999998,34.12,YQ,KIPE,-9.294,34.436,3102,490.9215547,2
XB,PS48,36.901,-3.727,XB,PM26,32.525,-4.566,8448,491.4930613,1
ZP,MLBA,-1.838,31.67,ZS,MANY,-3.3960000000000004,35.812,704,491.7580876,1
XB,PS44,36.317,-5.989,XB,PM29,32.084,-4.391,11781,492.0834235,1
XB,PS06,36.731,-5.513999999999999,XB,PM27,32.35,-4.654,9944,492.3572942,1
XA,SA26,-27.546,26.18,XA,SA53,-24.113000000000003,29.333,2376,494.4979434,2
XA,SA13,-29.979,23.14,XA,SA02,-33.735,20.266,2266,497.3696165,1
XA,SA38,-25.933000000000003,25.085,XA,SA43,-25.787,30.067,1375,499.6078988,1
ZP,NJOM,-9.366,34.791,YH,MANG,-7.198,38.773,1221,499.90801110000007,1
