0.0250000000,10.0164796195,-2.2176940982
0.0250700000,9.9686574111,-2.1707290094
0.0251400000,9.9209788810,-2.1239113012
0.0252100000,9.8734451772,-2.0772421119
0.0252800000,9.8260574679,-2.0307226006
0.0253500000,9.7788189540,-1.9843559584
0.0254100000,9.7384432631,-1.9447305032
0.0254800000,9.6914793345,-1.8986452446
0.0255500000,9.6446660176,-1.8527142450
0.0256200000,9.5980043756,-1.8069385587
0.0256900000,9.5514956698,-1.7613194378
0.0257600000,9.5051408909,-1.7158578641
0.0258300000,9.4589412625,-1.6705550520
0.0259000000,9.4128978308,-1.6254120392
0.0259700000,9.3670117695,-1.5804299904
0.0260400000,9.3212840889,-1.5356099073
0.0261100000,9.2757159020,-1.4909528940
0.0261800000,9.2303083248,-1.4464600581
0.0262500000,9.1850623618,-1.4021323955
0.0263200000,9.1399790616,-1.3579709462
0.0263900000,9.0950595156,-1.3139767934
0.0264600000,9.0503046637,-1.2701509143
0.0265300000,9.0057155077,-1.2264943498
0.0266000000,8.9612950005,-1.1830100466
0.0266600000,8.9233501267,-1.1458705040
0.0267300000,8.8792400278,-1.1027033015
0.0268000000,8.8352994174,-1.0597091826
0.0268700000,8.7915293151,-1.0168891607
0.0269400000,8.7479306355,-0.9742441444
0.0270100000,8.7045043353,-0.9317750841
0.0270800000,8.6612514034,-0.8894829630
0.0271500000,8.6181727183,-0.8473686536
0.0272200000,8.5752691596,-0.8054330294
0.0272900000,8.5325416716,-0.7636770290
0.0273600000,8.4899910849,-0.7221014769
0.0274300000,8.4476183533,-0.6807073212
0.0275000000,8.4054243078,-0.6394953870
0.0275700000,8.3634097314,-0.5984664515
0.0276400000,8.3215755756,-0.5576214604
0.0277100000,8.2799226118,-0.5169611795
0.0277800000,8.2384516470,-0.4764864098
0.0278500000,8.1971653391,-0.4361998231
0.0279100000,8.1619197456,-0.4018139497
0.0279800000,8.1209731632,-0.3618736517
0.0280500000,8.0802116650,-0.3221219594
0.0281200000,8.0396359190,-0.2825595319
0.0281900000,7.9992467606,-0.2431871960
0.0282600000,7.9590448647,-0.2040056180
0.0283300000,7.9190310252,-0.1650155832
0.0284000000,7.8792058567,-0.1262176976
0.0284700000,7.8395701336,-0.0876127272
0.0285400000,7.8001245169,-0.0492013246
0.0286100000,7.7608697207,-0.0109841956
0.0286800000,7.7218063428,0.0270380705
0.0287500000,7.6829350671,0.0648647981
0.0288200000,7.6442565840,0.1024953048
0.0288900000,7.6057714452,0.1399290470
0.0289600000,7.5674802601,0.1771654237
0.0290300000,7.5293836542,0.2142038174
0.0291000000,7.4914840361,0.2510418273
0.0291600000,7.4591511644,0.2824620525
0.0292300000,7.4216136774,0.3189316284
0.0293000000,7.3842730082,0.3552009804
0.0293700000,7.3471296201,0.3912696564
0.0294400000,7.3101840967,0.4271370843
0.0295100000,7.2734368353,0.4628028777
0.0295800000,7.2368884838,0.4982663998
0.0296500000,7.2005394534,0.5335272503
0.0297200000,7.1643901690,0.5685850154
0.0297900000,7.1284412288,0.6034391076
0.0298600000,7.0926929600,0.6380892104
0.0299300000,7.0571458715,0.6725348256
0.0300000000,7.0218003161,0.7067756110
0.0300700000,6.9866567706,0.7408111003
0.0301400000,6.9517155607,0.7746409784
0.0302100000,6.9169771543,0.8082647876
0.0302800000,6.8824418550,0.8416822348
0.0303500000,6.8481116863,0.8748913065
0.0304100000,6.8188449099,0.9031945678
0.0304800000,6.7848918253,0.9360205565
0.0305500000,6.7511431619,0.9686389081
0.0306200000,6.7175992164,1.0010493204
0.0306900000,6.6842602298,1.0332515492
0.0307600000,6.6511265601,1.0652452502
0.0308300000,6.6181983593,1.0970302851
0.0309000000,6.5854758868,1.1286064077
0.0309700000,6.5529595032,1.1599732709
0.0310400000,6.5206493045,1.1911307917
0.0311100000,6.4885455696,1.2220787047
0.0311800000,6.4566484442,1.2528168770
0.0312500000,6.4249581689,1.2833450810
0.0313200000,6.3934747907,1.3136632825
0.0313900000,6.3621985221,1.3437712819
0.0314600000,6.3311295812,1.3736688736
0.0315300000,6.3002679785,1.4033560598
0.0316000000,6.2696155033,1.4328310637
0.0316600000,6.2435041364,1.4579307474
0.0317300000,6.2132356418,1.4870161301
0.0318000000,6.1831748911,1.5158907493
0.0318700000,6.1533218269,1.5445546745
0.0319400000,6.1236766444,1.5730077225
0.0320100000,6.0942393018,1.6012499332
0.0320800000,6.0650098093,1.6292812972
0.0321500000,6.0359882169,1.6571017805
0.0322200000,6.0071744185,1.6847115044
0.0322900000,5.9785684149,1.7121104840
0.0323600000,5.9501702145,1.7392987261
0.0324300000,5.9219797489,1.7662763146
0.0325000000,5.8939969194,1.7930433632
0.0325700000,5.8662216442,1.8195999689
0.0326400000,5.8386538872,1.8459461827
0.0327100000,5.8112934675,1.8720822003
0.0327800000,5.7841418547,1.8980065669
0.0328400000,5.7610309815,1.9200632622
0.0329100000,5.7342622691,1.9455994853
0.0329800000,5.7077004573,1.9709260051
0.0330500000,5.6813452435,1.9960431385
0.0331200000,5.6551964883,2.0209510393
0.0331900000,5.6292539342,2.0456499789
0.0332600000,5.6035174391,2.0701401136
0.0333300000,5.5779867023,2.0944217578
0.0334000000,5.5526615328,2.1184951041
0.0334700000,5.5275416534,2.1423604340
0.0335400000,5.5026268181,2.1660180108
0.0336100000,5.4779166152,2.1894682641
0.0336800000,5.4534108881,2.2127113676
0.0337500000,5.4291093183,2.2357476572
0.0338200000,5.4050114483,2.2585776074
0.0338900000,5.3811171202,2.2812013931
0.0339600000,5.3574258650,2.3036195000
